created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 13:14:27 +0000 2023;1734199968955764820;"Warga Jawa Tengah memiliki alasan kuat untuk mendukung Ganjar sebagai calon presiden, karena beliau telah membuktikan kemampuannya dalam menghadapi tantangan ekonomi. @ermindalt  https://t.co/X3cHTjKNAu";0;0;0;0;in;1689242355084480512;1734199968955764820;ardianwcaksono;https://twitter.com/ardianwcaksono/status/1734199968955764820
Mon Dec 11 13:14:16 +0000 2023;1734199923196010528;"Calon presiden 2024,  Ganjar Pranowo, menegaskan regulasi di bidang kelautan ke depan harus berpihak pada nelayan. Regulasi yang dianggap tumpang tindih dan merugikan nelayan harus dikaji atau direvisi.  #SahabatGanjar   #GanjarMahfud2024 https://t.co/3aWZwKnTtU";0;1;14;18;in;547268357;1734199923196010528;kaddafong;https://twitter.com/kaddafong/status/1734199923196010528
Mon Dec 11 13:14:07 +0000 2023;1734199886671974697;"Ganjar Pranowo dianggap sebagai calon presiden yang lebih moderat dan cenderung mempromosikan perdamaian, berbeda dengan Prabowo yang dianggap lebih militeristik. @duniandri  https://t.co/97E6UAXLGx";0;0;0;0;in;1683389134126350336;1734199886671974697;dinda_tian47;https://twitter.com/dinda_tian47/status/1734199886671974697
Mon Dec 11 13:13:58 +0000 2023;1734199849644634254;"Warga Jatim mendukung Ganjar sebagai Capres 2024 karena melihatnya sebagai figur yang lebih inklusif, tidak seperti Prabowo yang terkesan eksklusif. @Dieter_Cobain  https://t.co/7TL5XrphYw";0;0;0;0;in;1703327014768594944;1734199849644634254;AmiraAulina;https://twitter.com/AmiraAulina/status/1734199849644634254
Mon Dec 11 13:13:36 +0000 2023;1734199756820513093;"Calon presiden nomor urut 3, Ganjar Pranowo resmi meluncurkan offficial merchandise bernuansa pasangan Ganjar-Mahfud MD. Peluncuran official merchandise itu dilakukan di FX Sudirman, Jakarta, Senin (11/12/2023).  Capres Ganjar Pranowo menghadiri launching offline store… https://t.co/2g1GF5uEOj";0;1;7;44;in;153407983;1734199756820513093;PDI_Perjuangan;https://twitter.com/PDI_Perjuangan/status/1734199756820513093
Mon Dec 11 13:13:13 +0000 2023;1734199658644467976;"Ganjar Pranowo membuktikan kepeduliannya dengan mengentaskan 1 juta kemiskinan di Jawa Tengah Dengan prestasi ini, beliau layak menjadi calon presiden yang peduli rakyat @danstillshit  https://t.co/BzdXFDXIQG";0;0;0;0;in;1689562532472881152;1734199658644467976;mirzarayyy;https://twitter.com/mirzarayyy/status/1734199658644467976
Mon Dec 11 13:13:12 +0000 2023;1734199653867118845;"@M45Broo Kalo capres lain surveynya tinggi  aku nggak percaya tapi kalo Ganjar yg tinggi surveynya baru aku percaya ...  Kata buzzernya https://t.co/lY6zyZd9p1";0;0;1;1;in;1640277024119091200;1734025639274131857;kawulane01;https://twitter.com/kawulane01/status/1734199653867118845
Mon Dec 11 13:13:08 +0000 2023;1734199639447064591;"@Iriani0808 @detikcom All in untuk pak Ganjar, dukung calon pemimpin terbaik kita sampai menjadi presiden RI di 2024";0;0;0;0;in;1725083671441666048;1734124610705391685;sabilaputri115;https://twitter.com/sabilaputri115/status/1734199639447064591
Mon Dec 11 13:12:00 +0000 2023;1734199353143857288;"Ganjar Pranowo, calon presiden yang membuktikan bahwa pembangunan bukan sekadar janji, tapi nyata @daffa_algafar_  https://t.co/B86GxBRru8";0;0;0;0;in;1688775823661404160;1734199353143857288;kiranaharm41822;https://twitter.com/kiranaharm41822/status/1734199353143857288
Mon Dec 11 13:11:34 +0000 2023;1734199243118895514;"Keberhasilan Jawa Tengah meraih predikat provinsi terbaik menjadi alasan kuat untuk memberikan kepercayaan kepada Ganjar Pranowo sebagai calon presiden Kita butuh pemimpin yang terbukti mampu @dararadaram https://t.co/hUYTpGI6a1";0;0;0;0;in;1689921622596354048;1734199243118895514;Anton1Rangga;https://twitter.com/Anton1Rangga/status/1734199243118895514
Mon Dec 11 13:11:29 +0000 2023;1734199222713680332;"Warga Jatim mendukung Ganjar sebagai Calon Presiden 2024 karena melihatnya sebagai pemimpin yang memiliki kemampuan komunikasi yang baik, sedangkan Prabowo terkadang sulit dipahami. @ElliaLoss  https://t.co/RD1usabSUN";0;0;0;0;in;1683758693597454336;1734199222713680332;ronanhadi51;https://twitter.com/ronanhadi51/status/1734199222713680332
Mon Dec 11 13:10:56 +0000 2023;1734199085014667563;"Ganjar dinilai sebagai calon presiden yang dapat membawa perubahan positif dalam sektor pendidikan, sesuatu yang dianggap Prabowo masih perlu fokuskan. @DzenmarkDzenma  https://t.co/KWuHIGeXj4";0;0;0;0;in;1682225624491102209;1734199085014667563;hhaykal_kamil;https://twitter.com/hhaykal_kamil/status/1734199085014667563
Mon Dec 11 13:10:44 +0000 2023;1734199035928715449;"Ganjar Pranowo capres? Jakarta tepuk tangan! Udah waktunya punya pemimpin kayak dia. @dikeyslaugh  https://t.co/WHbEAFtRqC";0;0;0;0;in;1681734048954351616;1734199035928715449;amna_nafisaa;https://twitter.com/amna_nafisaa/status/1734199035928715449
Mon Dec 11 13:10:43 +0000 2023;1734199030157361217;"@Twillight_Loid @CarolineSarah5 @milkuenyar Hanya di 2024 coat tail effect "diabaikan"...dimana th 2024 suara capres dianggab tidak berbanding lurus dg suara partai :) ANIES peringkat 2...suara partai di koalisinya tetep minimalis Prabowo No 1...gerindra dibawah PDIP GANJAR Peringkat 3..PDIP peringkat 1  )";0;0;0;0;in;1079742325398499329;1734077951820668934;mr6906552664;https://twitter.com/mr6906552664/status/1734199030157361217
Mon Dec 11 13:10:17 +0000 2023;1734198922162098217;"Ganjar Pranowo, calon presiden berintegritas, putuskan Nusa Kambangan sebagai penjara khusus untuk koruptor, menunjukkan kesungguhannya pada moralitas pemerintahan.#GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440654344368128;1734198922162098217;AlvaAugust14185;https://twitter.com/AlvaAugust14185/status/1734198922162098217
Mon Dec 11 13:10:17 +0000 2023;1734198921604255773;"Ganjar Pranowo, calon presiden berintegritas, putuskan Nusa Kambangan sebagai penjara khusus untuk koruptor, menunjukkan kesungguhannya pada moralitas pemerintahan.#GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440631300861952;1734198921604255773;ImaiMajhi1756;https://twitter.com/ImaiMajhi1756/status/1734198921604255773
Mon Dec 11 13:10:17 +0000 2023;1734198920912281926;"Ganjar Pranowo Mahfud MD, Capres berintegritas, membawa harapan rakyat ke masa depan, duet Capres dan Cawapres sebagai solusi bangsa.#GanjarPranowoPilihanUmat #JNK #SenoKusumoarjo #Kampanye #Pilpres2024";0;0;0;0;in;1720440553614061568;1734198920912281926;AlmirKeyes32993;https://twitter.com/AlmirKeyes32993/status/1734198920912281926
Mon Dec 11 13:10:15 +0000 2023;1734198913928720843;"Ganjar Pranowo, calon presiden berintegritas, putuskan Nusa Kambangan sebagai penjara khusus untuk koruptor, menunjukkan kesungguhannya pada moralitas pemerintahan.#GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440350043426816;1734198913928720843;BruniD60992;https://twitter.com/BruniD60992/status/1734198913928720843
Mon Dec 11 13:10:15 +0000 2023;1734198913798746425;"Ganjar Pranowo, calon presiden berintegritas, putuskan Nusa Kambangan sebagai penjara khusus untuk koruptor, menunjukkan kesungguhannya pada moralitas pemerintahan.#GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440165032685568;1734198913798746425;MorozWade46512;https://twitter.com/MorozWade46512/status/1734198913798746425
Mon Dec 11 13:10:14 +0000 2023;1734198910984368206;"Yakin Milih Ganjar Pranowo, perubahan dimulai dari suara Anda. Pilih Capres No 3, bawa Indonesia ke arah yang lebih baik.#IndonesiaUnggul #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar";0;0;0;0;in;1720440608668438528;1734198910984368206;Seneviratn41848;https://twitter.com/Seneviratn41848/status/1734198910984368206
Mon Dec 11 13:10:10 +0000 2023;1734198894610071614;"Keberhasilan Ganjar di Jateng bisa dibuktikan, semoga Jakarta juga mendapatkan hal serupa jika dia jadi Capres @DipanggilPal_  https://t.co/hECmQKxuFM";0;0;0;0;in;1685115924054151168;1734198894610071614;cachaaabila;https://twitter.com/cachaaabila/status/1734198894610071614
Mon Dec 11 13:09:57 +0000 2023;1734198835948482876;"Ganjar Pranowo, calon presiden yang bukan hanya memiliki visi, tetapi juga track record nyata. Penurunan kemiskinan di Jawa Tengah adalah bukti keberhasilannya yang sulit diabaikan. @Ekasepisan  https://t.co/kjBhb1mMwK";0;0;0;0;in;1686243234144755712;1734198835948482876;lovelylila2972;https://twitter.com/lovelylila2972/status/1734198835948482876
